timestamp, rr, since_start 

1677307724385,1208,18051
1677307725414,1169,19220
1677307727394,1154,20374
1677307728383,1111,21485
1677307729374,1095,22580
1677307730416,1041,23621
1677307731397,958,24579
1677307732387,1175,25754
1677307733384,1208,26962
1677307734414,1133,28095
1677307735404,1006,29101
1677307736392,966,30067
1677307737436,1029,31096
1677307738915,1014,32110
1677307739904,1009,33119
1677307740397,1071,34190
1677307742379,1109,35299
1677307743864,1146,36445
1677307744855,1138,37583
1677307745844,1227,38810
1677307746834,1234,40044
1677307748815,1234,41278
1677307749804,1238,42516
1677307750794,1245,43761
1677307751784,1217,44978
1677307753764,1239,46217
1677307754755,1316,47533
1677307755744,1292,48825
1677307757724,1282,50107
1677307758713,1297,51404
1677307759704,1240,52644
1677307760694,1229,53873
1677307762672,1245,55118
1677307763662,1285,56403
1677307764656,1248,57651
1677307765644,1222,58873
1677307766631,1174,60047
1677307768614,1209,61256
1677307769606,1203,62459
1677307770594,1198,63657
1677307771584,1274,64931
1677307773564,1271,66202
1677307774553,1243,67445
1677307775544,1208,68653
1677307776534,1198,69851
1677307777524,1173,71024
1677307779501,1199,72223
1677307780494,1270,73493
1677307781483,1270,74763
1677307782474,1250,76013
1677307784453,1232,77245
1677307785443,1241,78486
1677307786433,1221,79707
1677307787423,1248,80955
1677307789403,1273,82228
1677307790393,1268,83496
1677307791383,1247,84743
1677307792373,1232,85975
1677307794848,1196,87171
1677307795839,1223,88394
1677307796828,1190,89584
1677307797818,1266,90850
1677307799798,1315,92165
1677307800788,1289,93454
1677307801778,1251,94705
1677307802768,1205,95910
1677307804748,1213,97123
1677307805738,1209,98332
1677307806728,1204,99536
1677307807720,1236,100772
1677307809698,1309,102081
1677307810688,1268,103349
1677307811677,1235,104584
1677307812668,1198,105782
1677307813658,1231,107013
1677307815638,1180,108193
1677307816628,1208,109401
1677307817618,1285,110686
1677307818608,1284,111970
1677307820588,1245,113215
1677307821579,1164,114379
1677307822566,1147,115526
1677307823558,1131,116657
1677307824548,1151,117808
1677307826533,1314,119122
1677307827518,1258,120380
1677307828507,1237,121617
1677307829497,1189,122806
1677307830488,1178,123984
1677307832467,1171,125155
1677307832496,1175,126330
1677307834447,1170,127500
1677307835437,995,128495
1677307836428,1171,129666
1677307837418,1240,130906
1677307838408,1194,132100
1677307840387,1188,133288
1677307841378,1185,134473
1677307842862,1162,135635
1677307843852,1282,136917
1677307845832,1279,138196
1677307846822,1273,139469
1677307847812,1247,140716
1677307848802,1252,141968
1677307850782,1255,143223
1677307851772,1251,144474
1677307852762,1306,145780
1677307854742,1362,147142
1677307855732,1298,148440
1677307856722,1282,149722
1677307857712,1234,150956
1677307859692,1213,152169
1677307860682,1235,153404
1677307861673,1375,154779
1677307863652,1353,156132
1677307864642,1302,157434
1677307865632,1274,158708
1677307867613,1271,159979
1677307868603,1231,161210
1677307869592,1213,162423
1677307870583,1259,163682
1677307872563,1338,165020
1677307873554,1296,166316
1677307874542,1269,167585
1677307875532,1336,168921
1677307876522,1274,170195
1677307877512,1102,171297
1677307878502,1071,172368
1677307878534,1015,173383
1677307880482,928,174311
1677307883452,918,175229
1677307884442,878,176107
1677307885432,864,176971
1677307886422,856,177827
1677307886451,900,178727
1677307887412,930,179657
1677307888400,877,180534
1677307889392,849,181383
1677307890382,823,182206
1677307890413,799,183005
1677307891372,775,183780
1677307892856,752,184532
1677307893847,732,185264
1677307893883,717,185981
1677307894837,707,186688
1677307895826,698,187386
1677307896817,709,188095
1677307897807,812,188907
1677307897832,900,189807
1677307898797,884,190691
1677307899787,910,191601
1677307900777,916,192517
1677307901765,882,193399
1677307902757,883,194282
1677307903747,912,195194
1677307904737,931,196125
1677307905727,965,197090
1677307906717,1031,198121
1677307907707,1109,199230
1677307908698,1056,200286
1677307909687,999,201285
1677307910677,930,202215
1677307911667,860,203075
1677307911698,828,203903
1677307912662,797,204700
1677307913647,794,205494
1677307914645,808,206302
1677307915627,815,207117
1677307916617,854,207971
1677307917615,974,208945
1677307918598,1070,210015
1677307919587,1038,211053
1677307920578,987,212040
1677307921567,918,212958
1677307921596,856,213814
1677307922558,821,214635
1677307923546,805,215440
1677307924536,797,216237
1677307925526,795,217032
1677307926517,801,217833
1677307927507,881,218714
1677307928496,1100,219814
1677307929486,1063,220877
1677307930476,1023,221900
1677307930501,944,222844
1677307931466,877,223721
1677307932462,833,224554
1677307933446,799,225353
1677307934442,788,226141
1677307934468,784,226925
1677307935435,795,227720
1677307936417,839,228559
1677307937406,974,229533
1677307938397,1040,230573
1677307939386,970,231543
1677307940376,921,232464
1677307941861,904,233368
1677307942851,855,234223
1677307943841,820,235043
1677307943871,812,235855
1677307945327,819,236674
1677307945821,823,237497
1677307946811,870,238367
1677307947801,954,239321
1677307948791,1039,240360
1677307949782,1017,241377
1677307950771,958,242335
1677307951761,904,243239
1677307952751,875,244114
1677307953741,838,244952
1677307953772,820,245772
1677307954731,801,246573
1677307955721,797,247370
1677307956711,813,248183
1677307957701,896,249079
1677307958691,928,250007
1677307959681,948,250955
1677307960671,949,251904
1677307960704,896,252800
1677307961661,873,253673
1677307962651,852,254525
1677307963641,828,255353
1677307964631,812,256165
1677307964665,792,256957
1677307965621,794,257751
1677307966611,822,258573
1677307967601,850,259423
1677307968591,887,260310
1677307969581,863,261173
1677307970571,833,262006
1677307970600,817,262823
1677307971561,802,263625
1677307972551,794,264419
1677307973541,785,265204
1677307974531,777,265981
1677307974564,786,266767
1677307975521,811,267578
1677307976511,888,268466
1677307977501,916,269382
1677307978491,899,270281
1677307979481,863,271144
1677307980471,834,271978
1677307980505,803,272781
1677307981461,780,273561
1677307982451,766,274327
1677307983441,760,275087
1677307983470,763,275850
1677307984431,787,276637
1677307985421,844,277481
1677307986411,860,278341
1677307987401,855,279196
1677307988391,832,280028
1677307988421,809,280837
1677307989380,787,281624
1677307990371,774,282398
1677307991856,762,283160
1677307991884,757,283917
1677307992846,759,284676
1677307993836,787,285463
1677307994826,848,286311
1677307996806,908,287219
1677307996882,966,288185
1677307997795,929,289114
1677307999280,884,289998
1677307999312,859,290857
1677307999775,824,291681
1677308000765,797,292478
1677308001755,785,293263
1677308002743,771,294034
1677308002752,763,294797
1677308003735,771,295568
1677308004725,806,296374
1677308005715,914,297288
1677308006705,946,298234
1677308007695,926,299160
1677308008683,905,300065
1677308009675,872,300937
1677308009703,841,301778
1677308010665,824,302602
1677308011655,797,303399
1677308012645,786,304185
1677308013635,789,304974
1677308014625,855,305829
1677308014653,857,306686
1677308015615,912,307598
1677308017595,889,308487
1677308017639,871,309358
1677308018585,844,310202
1677308019575,855,311057
1677308019607,820,311877
1677308021556,803,312680
1677308021619,792,313472
1677308022543,786,314258
1677308023535,798,315056
1677308024525,850,315906
1677308025515,930,316836
1677308026505,960,317796
1677308026537,928,318724
1677308027493,914,319638
1677308028980,890,320528
1677308029475,860,321388
1677308030465,848,322236
1677308031455,812,323048
1677308031492,795,323843
1677308032445,799,324642
1677308033434,837,325479
1677308034425,881,326360
1677308035414,913,327273
1677308036405,913,328186
1677308037394,863,329049
1677308037430,845,329894
1677308038385,824,330718
1677308039375,798,331516
1677308040859,772,332288
1677308041849,768,333056
1677308042839,784,333840
1677308044820,863,334703
1677308044856,902,335605
1677308044885,907,336512
1677308045809,876,337388
1677308046800,845,338233
1677308047790,812,339045
1677308047825,786,339831
1677308048780,775,340606
1677308049771,764,341370
1677308050760,759,342129
1677308051748,791,342920
1677308051760,865,343785
1677308052741,850,344635
1677308053728,849,345484
1677308054720,836,346320
1677308055710,805,347125
1677308056700,813,347938
1677308056747,791,348729
1677308057690,769,349498
1677308058680,761,350259
1677308059670,777,351036
1677308060660,835,351871
1677308060701,825,352696
1677308061648,899,353595
1677308062644,918,354513
1677308063629,917,355430
1677308064618,910,356340
1677308065611,874,357214